"ACCESS-ESM1-5","CanESM5","CESM2","GFDL-ESM4","IPSL-CM6A-LR","MIROC-ES2L","MPI-ESM1-2-LR","NorESM2-LM","UKESM1-0-LL"
867.197469530198,1505.7652372802,1862.94092002592,535.297057637386,619.982468474693,1486.84352843497,963.949345945281,2596.06417022871,1772.97226182123
867.4227400911,1504.98152348996,1863.1129554414,535.481160434975,619.855901518387,1487.06168936418,964.447841139968,2596.21414358983,1772.48534460694
867.546189042733,1505.08952276777,1863.10110919164,536.816291033701,619.911677523564,1487.43842040437,964.416398291089,2596.19859716456,1771.67482867658
867.801061336466,1504.658714217,1863.30675406862,536.875652293254,619.733438380269,1487.46663928068,964.419704364554,2596.4236754762,1770.9785178532
868.096376894862,1504.69958362111,1863.16212056352,535.770953483039,619.419880151203,1487.75659420138,964.35149231905,2596.40365542715,1771.53974144765
868.212474993906,1504.39844445882,1863.2456900957,535.928582839676,619.138047432441,1487.7055680365,964.099243411338,2596.52317517588,1771.3946364884
868.240158592939,1504.23042566209,1863.07087811798,536.948875523276,618.881597841084,1487.35812851245,962.884598206222,2596.10943051084,1771.65425508799
867.973521478707,1504.35918057316,1863.12223177914,537.259115401612,619.210891704334,1486.73126526998,963.158064307878,2595.82304646194,1771.9029705229
867.836956410325,1503.87886073366,1862.93269291651,536.975897326764,619.50439034677,1485.50328414758,963.905857814646,2595.5985243174,1772.03344676518
867.802801304926,1503.59042200565,1862.95140638417,536.918385486217,619.340997103341,1484.88981822751,963.27475147165,2595.52655255078,1772.43524380042
867.447430293848,1503.42095390819,1863.09088071641,537.636837958283,619.216492173269,1484.50255389706,962.081501724923,2595.54941771484,1773.23987055748
867.388881419499,1503.20502172311,1863.05363016903,537.295389447027,618.858131107216,1483.7107132192,961.75371170938,2595.65391104508,1773.34846374269
867.462075374101,1503.94309696989,1862.96122226446,536.920792041419,618.403741224606,1482.91354379269,961.831481747351,2595.478721712,1772.39926750909
867.008045922112,1503.93910128397,1862.78174239118,536.661513441105,618.003933735241,1482.67517581249,962.218537776067,2595.41810392582,1770.31327014597
866.467187279406,1503.36774950955,1862.22698130769,537.823233768255,617.868880538443,1482.32183423598,961.682221694359,2595.74892203638,1769.21674863923
865.868181925644,1502.81400029548,1861.60864139013,537.746074697741,617.684683064083,1481.42584692816,961.454214173119,2595.30501817665,1768.09858004934
865.156340196981,1502.18109449999,1861.79596698728,536.397359805622,617.28922169328,1479.56095823988,960.954783552075,2594.91423968239,1767.13085121703
864.335977561801,1502.16020722632,1862.24607416681,535.394014360719,617.012396150938,1477.38817593014,959.965345898572,2594.63907558398,1767.36223400454
863.915514970304,1501.29767017232,1862.1680081338,535.395571072592,616.814012213516,1476.21803432671,960.083828329772,2594.34356084858,1767.28349107876
863.565767684375,1501.68184600504,1862.13910509527,534.330038273706,616.583894684849,1476.03079051538,960.165054399397,2594.10445105569,1767.2682335102
863.257672173525,1502.02722632827,1861.71209762974,532.997443498252,616.240975878229,1475.51532094156,960.644729944701,2594.07732452731,1766.86463224637
863.108307404548,1501.73693423893,1861.63268771738,533.442773112356,615.911024900456,1474.7746656833,960.540920002054,2594.1532874395,1766.86239333559
862.679569216846,1501.80778643899,1861.47704450654,532.926781164478,615.567012035273,1474.54040127839,959.494264723038,2593.86948834542,1766.29813358383
862.18524008308,1501.32588758173,1861.58280559777,531.508817284078,614.943464372329,1474.29386725125,959.429965823495,2593.86659053945,1764.39446037799
861.660205783955,1500.26490020951,1861.55293310018,530.522821490854,614.40333941379,1473.54464973764,958.05352583671,2593.53082752482,1763.70209765071
861.141053135775,1498.77653204807,1861.2182882554,529.293418145599,614.381899455804,1471.365002607,957.210113011024,2592.94771720813,1763.51021663819
860.291224059357,1497.70514575652,1861.06364949953,528.759014373257,614.313231249307,1469.71609692989,957.377837966644,2592.51279649049,1762.77549224153
859.724128860846,1496.99155393884,1860.65548546787,530.221310950663,613.952879196578,1468.915802669,957.611233973701,2592.35502713432,1761.88169057807
858.998003957083,1496.67165526934,1860.92795734219,529.939057672604,613.474416992462,1468.79122417126,957.585278873958,2592.44935133146,1760.72394473705
857.945933175823,1496.34306941255,1860.91416724845,528.941794941788,613.385051943474,1468.30297660075,957.763524141437,2592.49957558439,1759.68419717261
857.043980214966,1496.38086926139,1860.36321189515,527.067687115809,613.436407083067,1466.94085298278,957.804903057608,2592.55076602668,1759.40527804041
856.121522343907,1495.52627589841,1860.43831564403,526.001466884405,613.583370049199,1465.69691774043,957.713066084115,2592.48404460718,1758.15743882632
855.199477201232,1493.91918248621,1859.82317391181,526.332116942884,613.298115582539,1465.29048404769,956.552868165795,2591.97459589142,1756.92727260889
854.210593449841,1493.13062478413,1859.26022427781,525.495579276299,612.817211959167,1465.22392495561,955.45256926512,2591.44191034836,1755.58195720858
853.193470743246,1492.27104051519,1859.54959516592,524.00216035997,611.655884592205,1464.47621949505,954.858986705169,2591.27309063209,1754.0162127482
852.311805956322,1490.9802499295,1859.31906873116,522.163391867111,611.053756436235,1463.69671391993,953.743758322509,2591.18613375785,1752.60585748449
851.265036550164,1490.157747162,1858.80946261579,521.823916134044,610.414983214606,1462.71914613697,952.582406560744,2590.65156493351,1751.54591287162
850.245041276676,1488.98433443898,1858.37931272306,522.848110045143,610.226214113153,1461.46339945276,953.067045332778,2590.83155356046,1751.05085502576
848.882820551609,1488.48284706734,1858.11501404899,521.486433961244,610.463012813098,1459.52775227558,952.660086905878,2590.40075611304,1750.25183125594
