"ACCESS-ESM1-5","CanESM5","CESM2","GFDL-ESM4","IPSL-CM6A-LR","MIROC-ES2L","MPI-ESM1-2-LR","NorESM2-LM","UKESM1-0-LL"
867.258394452853,1505.77283604241,1862.80075707941,535.213332908294,619.982468474693,1486.84787812848,963.841345316887,2596.15313180281,1772.94466824854
867.895461686129,1505.54055124793,1862.99633514427,535.450702905951,620.041309082686,1486.11968932144,964.432090309406,2596.33414798139,1772.26990199973
868.273762604185,1505.64828147601,1863.29912894791,536.819281912607,620.115537216181,1485.54548230438,964.796649509818,2596.2141898269,1772.28770963806
868.523633438733,1506.41723364598,1863.49159071828,536.858985599869,620.440906454925,1485.94988666688,965.349912168749,2596.14628134088,1773.15538883588
868.736864443704,1506.29281431294,1863.42678623036,537.068287585904,620.260921662233,1486.32846222176,964.917662788435,2595.89762684889,1774.30688991554
869.458417876984,1505.94091420451,1863.51173246514,537.040960795542,620.443538710745,1486.5409537192,964.579604478671,2596.00781405509,1774.66436617741
870.106266091301,1506.04051391431,1863.4725467676,538.380738640188,620.7767426761,1486.54176250883,964.547557939836,2596.45392597031,1774.64531454003
870.349310043608,1506.89442934236,1863.7734519107,538.833730274543,621.354935689482,1485.6010382256,965.595603875375,2596.55194724845,1775.7488031177
870.84031399776,1508.16817664536,1864.47712489816,538.212641786139,622.042748667667,1485.64665278831,967.817442724174,2596.70209033637,1777.56333586569
871.775757328966,1509.21910309244,1864.63660047226,538.897581333684,622.644737817417,1486.85122772004,969.168116284374,2596.81531205982,1778.38722917686
872.89643114955,1509.58795727905,1864.73417750305,540.877953853222,623.532500506816,1488.27170718892,970.427741711522,2597.11757501369,1779.06227033488
874.012237240294,1509.81599549361,1864.84834876958,540.893853368103,624.263854305334,1489.3319983862,971.959808610873,2597.22290502008,1780.48871112649
875.428709844177,1510.73952589307,1865.16098155577,541.326300852282,624.767994517563,1490.23529009733,973.293217121786,2597.42546518811,1781.89763290148
876.697213915586,1511.3174572275,1865.58814627465,543.70717964785,625.327936709918,1491.57444678184,973.8682113278,2597.81410340982,1782.36705339233
877.912296295935,1511.3197444022,1865.80832441205,545.107476325818,626.253362133024,1493.12141666934,975.500489089429,2598.09082889674,1783.96045844171
878.921344204123,1512.23642977533,1865.72753174957,544.613393507704,627.174191042362,1494.20242831649,977.340041434128,2598.13527142641,1784.92557823902
880.398133878426,1513.93267125261,1866.34019075186,544.978515712012,627.99968060812,1495.5344398056,979.288462534041,2598.83773605961,1785.62173596805
882.070015939941,1515.04774255409,1867.26408793157,546.758513675804,629.236656493179,1497.54283768946,980.9561164058,2599.32563672886,1786.60949008801
883.441144128455,1516.71580846315,1867.49611224966,548.3938791014,630.783217482443,1499.07955662727,983.172340427389,2599.8896648998,1788.42246918202
884.706390635962,1517.53595538219,1868.15465848729,549.887862400625,631.91957915863,1499.70891509717,985.425987373216,2600.46559103233,1789.95262485674
886.09469486779,1518.83235363316,1868.95994838686,551.326885089095,633.084559969752,1501.10689598132,987.057917199715,2600.61043946767,1790.85172453519
887.363614621906,1519.94024104926,1869.0700284568,553.006241706677,634.576864426281,1503.58656790294,989.131151641013,2601.07177531056,1791.81174098697
888.707486159362,1521.62595367802,1869.33117895162,553.336813835994,635.786525328134,1506.4364766128,990.165949596254,2601.59099265368,1793.92684955684
890.098023639748,1523.55747698747,1870.12933777583,553.011264470046,637.327696206834,1509.05425722861,992.695309699329,2601.83442410772,1795.55876013913
891.692987489312,1525.33785810591,1870.72649174211,555.342243514797,638.599577725646,1511.36543346444,995.517332810525,2602.61663092585,1795.98479454897
893.05963241743,1527.14038178512,1871.53128441191,556.404703923007,639.849291576386,1514.11907929885,995.299366204874,2603.37980211433,1796.91422206027
894.56064397645,1528.83880460734,1872.04415445569,557.30577968191,641.277008225519,1516.4944263628,997.334993727534,2603.64315776499,1798.56389117016
895.835669981028,1530.45847195769,1872.50400049606,559.064039303899,642.430996247555,1518.76905769594,999.430998559781,2604.3087082291,1800.76233746922
897.233381553762,1532.13599817968,1873.40020573728,561.444243965807,644.04353250996,1521.01677820044,1001.44613468134,2604.99895841896,1801.98626798481
898.817297293441,1534.08099366112,1874.09349520918,564.846225847976,645.577040467881,1522.88779563288,1003.85981624666,2605.56778756304,1803.48780652829
899.97710305177,1536.51381162714,1874.5861794745,567.715544613861,647.64260369212,1525.05493834222,1006.16017755307,2606.39281170622,1804.16797301545
901.270963213028,1538.64129492834,1875.23365489398,569.94785998365,649.708885667819,1528.50377762608,1008.84322299016,2607.06729561701,1805.82551616518
902.384127481906,1540.34040311915,1875.9057625864,571.753728945275,651.433132225578,1532.34502398716,1012.07325507773,2607.58581610696,1808.44137250894
903.775072161382,1542.51269126519,1876.76414392095,572.906880504935,653.025217623261,1535.99024011475,1014.71689521677,2608.29046240411,1809.90815761881
905.382030052941,1544.9266583191,1877.95849819931,575.020507573078,654.967213510219,1539.34624349312,1016.33883611066,2608.89887509712,1811.15435999638
906.427263773861,1547.73417212022,1878.94663330768,576.032619041989,657.016331341517,1542.89940788169,1017.88488920526,2609.99546535579,1812.56412874798
907.855211726034,1550.66374241739,1879.88503131266,577.117833675852,658.618262720204,1546.57952523242,1019.89514442412,2610.73895087016,1813.46777140161
909.333125950091,1552.47548965309,1880.94745715689,578.588460732379,660.564856220656,1550.209906233,1023.11441891388,2611.90111709454,1814.95303390309
910.460812486049,1554.01896950421,1882.02434443315,580.721037242655,662.425384013048,1553.42221707616,1025.23893600334,2612.64132798651,1816.40888947226
911.696862301054,1556.93637787387,1882.59057501348,582.931199323424,664.274234664785,1557.01065692979,1028.0472618597,2613.36825712107,1818.24244594169
912.904040786865,1559.78168169948,1883.34992856909,584.954937251854,666.058088538134,1560.70161659748,1031.6218023672,2614.25020864484,1820.55036239194
914.051644499727,1562.59729669375,1883.81599456349,587.302097196124,667.931186855535,1564.46959187152,1034.93540257373,2614.85703128045,1822.01293099554
915.018438273423,1566.23293432613,1884.29754094759,590.079357526215,669.589989287355,1568.07257143813,1037.86396813543,2615.35424173453,1822.56135378676
915.53790750247,1569.22066072228,1885.47643663928,592.945198719534,671.369448348559,1571.13345058432,1040.15120480033,2616.24146700109,1823.4191733467
916.323218452635,1571.98997205383,1886.99306178521,596.681624895604,673.105740448971,1574.92074559558,1043.21080369231,2617.42603343537,1826.06149572813
917.713076001432,1575.80019261793,1887.49513319591,599.874063205117,675.450051093396,1579.38933264282,1046.66212398557,2618.36963460701,1827.99685518996
919.09063261683,1578.16605218426,1887.69820107169,600.671124573439,677.560359814059,1583.30973393167,1048.61711963426,2618.81115352421,1829.25950735317
920.232585986003,1580.99491724367,1888.81990020427,599.997968368599,679.44917664555,1586.92482222915,1051.42933999537,2620.07979468029,1831.60665742844
